,Tarih,USD,EUR,GBP
462,11-10-2006,1.492,1.8741,2.774
463,12-10-2006,1.4827,1.8602,2.7519
464,13-10-2006,1.4824,1.8593,2.7516
465,16-10-2006,1.4651,1.8399,2.7262
466,17-10-2006,1.4692,1.8382,2.7312
467,18-10-2006,1.4689,1.8404,2.7396
468,19-10-2006,1.4701,1.8445,2.7506
469,20-10-2006,1.4552,1.8279,2.7195
470,23-10-2006,,,
471,24-10-2006,,,
472,25-10-2006,,,
473,26-10-2006,1.4501,1.8299,2.7272
474,27-10-2006,1.4447,1.8289,2.7217
475,30-10-2006,1.442,1.8288,2.7243
476,31-10-2006,1.4501,1.845,2.7541
477,01-11-2006,1.454,1.846,2.7611
478,02-11-2006,1.4481,1.8469,2.7629
479,03-11-2006,1.4533,1.8552,2.772
480,06-11-2006,1.4602,1.8653,2.786
481,07-11-2006,1.4414,1.8311,2.7336
482,08-11-2006,1.4354,1.8317,2.7328
483,09-11-2006,1.4488,1.8529,2.762
484,10-11-2006,1.4424,1.8442,2.7476
485,13-11-2006,1.4401,1.8541,2.7556
486,14-11-2006,1.4432,1.8534,2.752
487,15-11-2006,1.4414,1.8491,2.7359
488,16-11-2006,1.4427,1.8472,2.725
489,17-11-2006,1.4324,1.835,2.7037
490,20-11-2006,1.4369,1.8364,2.7094
491,21-11-2006,1.4496,1.8611,2.7476
492,22-11-2006,1.4512,1.8604,2.7546
493,23-11-2006,1.4653,1.8874,2.794
494,24-11-2006,1.4703,1.9054,2.8142
495,27-11-2006,1.4705,1.9221,2.8389
496,28-11-2006,1.4597,1.9144,2.825
497,29-11-2006,1.4756,1.9398,2.8678
498,30-11-2006,1.46,1.9211,2.8444
499,01-12-2006,1.4458,1.9081,2.8264
500,04-12-2006,1.44,1.9066,2.8327
501,05-12-2006,1.4501,1.9291,2.8652
502,06-12-2006,1.4454,1.9256,2.8561
503,07-12-2006,1.4395,1.9118,2.8295
504,08-12-2006,1.4267,1.897,2.8058
505,11-12-2006,1.4276,1.8958,2.7963
506,12-12-2006,1.4269,1.8825,2.7831
507,13-12-2006,1.4174,1.8765,2.7798
508,14-12-2006,1.4202,1.8837,2.7973
509,15-12-2006,1.4165,1.8717,2.7843
510,18-12-2006,1.4154,1.8578,2.7714
511,19-12-2006,1.419,1.8589,2.7691
512,20-12-2006,1.427,1.8779,2.7984
513,21-12-2006,1.4224,1.8807,2.8033
514,22-12-2006,1.4216,1.8748,2.793
515,25-12-2006,1.4186,1.8725,2.7869
516,26-12-2006,1.4222,1.8686,2.7937
517,27-12-2006,1.4198,1.865,2.7806
518,28-12-2006,1.4192,1.8668,2.7803
519,29-12-2006,1.4131,1.8586,2.7689
520,01-01-2007,,,
521,02-01-2007,,,
522,03-01-2007,,,
523,04-01-2007,1.4056,1.8515,2.7569
524,05-01-2007,1.4086,1.847,2.7372
525,08-01-2007,1.4266,1.8676,2.7669
526,09-01-2007,1.4392,1.8725,2.7807
527,10-01-2007,1.4266,1.8586,2.7701
528,11-01-2007,1.4448,1.8771,2.8001
529,12-01-2007,1.4321,1.8577,2.7792
530,15-01-2007,1.4263,1.8404,2.7781
531,16-01-2007,1.4202,1.8383,2.7902
532,17-01-2007,1.4216,1.8434,2.7955
533,18-01-2007,1.4251,1.8418,2.801
534,19-01-2007,1.4165,1.8332,2.7919
535,22-01-2007,1.4103,1.8288,2.7826
536,23-01-2007,1.4041,1.819,2.7719
537,24-01-2007,1.405,1.8272,2.7878
538,25-01-2007,1.4073,1.8298,2.7765
539,26-01-2007,1.4087,1.8289,2.774
540,29-01-2007,1.4252,1.8399,2.7937
541,30-01-2007,1.4201,1.8345,2.7785
542,31-01-2007,1.4221,1.8432,2.7941
543,01-02-2007,1.4135,1.8296,2.7609
544,02-02-2007,1.4001,1.8227,2.7518
545,05-02-2007,1.3971,1.8195,2.7486
546,06-02-2007,1.4007,1.8125,2.7436
547,07-02-2007,1.3944,1.8045,2.7403
548,08-02-2007,1.3949,1.8118,2.748
549,09-02-2007,1.398,1.8159,2.7461
550,12-02-2007,1.3926,1.8112,2.7123
551,13-02-2007,1.4031,1.8201,2.7308
552,14-02-2007,1.3992,1.8194,2.7189
553,15-02-2007,1.3909,1.8202,2.7153
554,16-02-2007,1.3824,1.8158,2.707
555,19-02-2007,1.3818,1.8136,2.6921
556,20-02-2007,1.3788,1.8114,2.6835
557,21-02-2007,1.3756,1.8085,2.6816
558,22-02-2007,1.3782,1.8111,2.6908
559,23-02-2007,1.3761,1.8021,2.6823
560,26-02-2007,1.376,1.8051,2.6939
561,27-02-2007,1.3793,1.8159,2.7066
562,28-02-2007,1.3922,1.8397,2.7338
563,01-03-2007,1.413,1.8646,2.7644
564,02-03-2007,1.4089,1.8633,2.7629
565,05-03-2007,1.4194,1.8684,2.7657
566,06-03-2007,1.4498,1.9015,2.786
567,07-03-2007,1.4303,1.8759,2.7552
568,08-03-2007,1.4258,1.8717,2.7497
569,09-03-2007,1.416,1.863,2.7358
570,12-03-2007,1.4138,1.8591,2.7282
571,13-03-2007,1.3991,1.8409,2.7079
572,14-03-2007,1.4046,1.8519,2.7109
573,15-03-2007,1.4194,1.8722,2.7293
574,16-03-2007,1.4033,1.8545,2.7139
575,19-03-2007,1.4008,1.8663,2.7253
576,20-03-2007,1.3932,1.853,2.7083
577,21-03-2007,1.3869,1.8431,2.7096
578,22-03-2007,1.3894,1.8481,2.7216
579,23-03-2007,1.3766,1.8396,2.7096
580,26-03-2007,1.3773,1.8351,2.7065
581,27-03-2007,1.3792,1.83,2.7032
582,28-03-2007,1.3833,1.8458,2.7176
583,29-03-2007,1.3869,1.8502,2.7217
584,30-03-2007,1.3861,1.849,2.722
585,02-04-2007,1.3801,1.8383,2.7017
586,03-04-2007,1.3813,1.8452,2.7259
587,04-04-2007,1.3772,1.8403,2.7221
588,05-04-2007,1.3641,1.8218,2.6933
589,06-04-2007,1.3625,1.8215,2.6879
590,09-04-2007,1.3592,1.8238,2.6774
591,10-04-2007,1.365,1.825,2.6793
592,11-04-2007,1.3684,1.8361,2.6969
593,12-04-2007,1.3623,1.8291,2.6932
594,13-04-2007,1.3689,1.8427,2.7046
595,16-04-2007,1.3667,1.8496,2.7139
596,17-04-2007,1.3525,1.8332,2.6909
